"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "60-64 years" 52
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "65-69 years" 26
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "70-74 years" 5
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "75-79 years" 11
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "80-84 years" 6
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "85-89 years" 4
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "Age class - Total" 1191
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "0-4 years" 71
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "5-9 years" 60
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "10-14 years" 44
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "15-19 years" 55
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "20-24 years" 82
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "25-29 years" 118
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "30-34 years" 180
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "35-39 years" 171
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "40-44 years" 136
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "45-49 years" 102
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "50-54 years" 69
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "55-59 years" 42
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "60-64 years" 27
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "65-69 years" 19
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "70-74 years" 3
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "75-79 years" 5
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "80-84 years" 4
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "85-89 years" 3
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "90-94 years" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "95-99 years" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Man" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "Age class - Total" 1471
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "0-4 years" 72
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "5-9 years" 68
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "10-14 years" 52
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "15-19 years" 56
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "20-24 years" 94
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "25-29 years" 229
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "30-34 years" 284
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "35-39 years" 219
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "40-44 years" 141
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "45-49 years" 105
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "50-54 years" 59
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "55-59 years" 49
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "60-64 years" 25
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "65-69 years" 7
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "70-74 years" 2
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "75-79 years" 6
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "80-84 years" 2
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "85-89 years" 1
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "90-94 years" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "95-99 years" 0
"2016" "Switzerland" "Permanent resident population" "Residence permit (B)" "Woman" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "Age class - Total" 3164
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "0-4 years" 147
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "5-9 years" 163
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "10-14 years" 178
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "15-19 years" 107
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "20-24 years" 77
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "25-29 years" 57
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "30-34 years" 176
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "35-39 years" 340
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "40-44 years" 463
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "45-49 years" 418
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "50-54 years" 367
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "55-59 years" 243
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "60-64 years" 146
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "65-69 years" 98
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "70-74 years" 85
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "75-79 years" 45
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "80-84 years" 26
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "85-89 years" 18
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "90-94 years" 8
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "95-99 years" 2
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "Age class - Total" 1497
