"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Man" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Man" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Man" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Man" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Man" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Man" "20-24 years" 0
